NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD,Y2024,Y2023,Y2022,AVG_PPG_PPR,BYE,WEIGHTED_SCORE,TIER
Eric Gray,RB,NYG,2.1,0,0,0,0.0,0.0,2,8,0.1,0,0,4,0.0,1.6,1.7,0.0,1.7,14,7.120000000000001,9
Jakob Johnson,RB,HOU,6.7,0,0,0,0.0,0.0,0,1,0.0,4,3,23,0.2,0.0,0.2,0.4,0.3,6,6.32,9
Trayveon Williams,RB,NE,1.9,0,0,0,0.0,0.0,2,9,0.1,0,0,2,0.0,0.0,0.8,1.6,1.2,14,5.359999999999999,9
J.J. Taylor,RB,HOU,1.0,0,0,0,0.0,0.0,2,6,0.0,0,0,0,0.0,1.5,0.0,1.0,1.3,6,4.96,9
Kene Nwangwu,RB,NYJ,1.4,0,0,0,0.0,0.0,2,9,0.0,0,0,1,0.0,0.0,0.3,1.7,1.0,9,4.32,9
Jacory Croskey-Merritt,RB,WAS,3.5,0,0,0,0.0,0.0,4,18,0.1,1,1,3,0.0,,,,,12,3.5,9
Sione Vaki,RB,DET,1.1,0,0,0,0.0,0.0,3,11,0.0,0,0,0,0.0,0.8,0.0,0.0,0.8,8,3.4400000000000004,9
Jashaun Corbin,RB,ATL,3.2,0,0,0,0.0,0.0,4,16,0.1,0,0,3,0.0,,,,,5,3.2,9
Reggie Gilliam,RB,BUF,1.2,0,0,0,0.0,0.0,1,3,0.0,1,0,2,0.0,0.0,0.1,1.3,0.7,7,3.1999999999999997,9
Elijah Dotson,RB,ATL,3.1,0,0,0,0.0,0.0,4,15,0.1,0,0,3,0.0,,,,,5,3.1,9
Corey Kiner,RB,SF,3.1,0,0,0,0.0,0.0,4,16,0.1,0,0,3,0.0,,,,,14,3.1,9
Deion Hankins,RB,CHI,3.1,0,0,0,0.0,0.0,4,16,0.1,1,0,3,0.0,,,,,5,3.1,9
Tre Stewart,RB,MIN,3.0,0,0,0,0.0,0.0,3,14,0.1,1,0,2,0.0,,,,,6,3.0,9
Frank Gore Jr.,RB,BUF,2.9,0,0,0,0.0,0.0,3,13,0.1,0,0,3,0.0,,,,,7,2.9,9
Nate Noel,RB,MIA,2.9,0,0,0,0.0,0.0,4,14,0.1,1,0,3,0.0,,,,,12,2.9,9
Emani Bailey,RB,CAR,2.7,0,0,0,0.0,0.0,3,13,0.1,0,0,3,0.0,,,,,14,2.7,9
Marcus Major,RB,BAL,2.6,0,0,0,0.0,0.0,3,14,0.1,0,0,2,0.0,,,,,7,2.6,9
Donovan Edwards,RB,NYJ,2.6,0,0,0,0.0,0.0,3,14,0.1,1,0,3,0.0,,,,,9,2.6,9
Shunderrick Powell,RB,PHI,2.6,0,0,0,0.0,0.0,1,2,0.0,1,1,7,0.1,,,,,9,2.6,9
George Holani,RB,SEA,2.5,0,0,0,0.0,0.0,5,19,0.0,0,0,3,0.0,,,,,8,2.5,9
Lan Larison,RB,NE,2.5,0,0,0,0.0,0.0,3,13,0.1,0,0,2,0.0,,,,,14,2.5,9
Cody Schrader,RB,LAR,2.5,0,0,0,0.0,0.0,3,13,0.1,0,0,2,0.0,,,,,8,2.5,9
Kye Robichaux,RB,DET,2.4,0,0,0,0.0,0.0,4,15,0.1,0,0,0,0.0,,,,,8,2.4,9
Chris Collier,RB,LV,2.1,0,0,0,0.0,0.0,0,0,0.0,1,1,8,0.0,,,,,8,2.1,9
Dylan Laube,RB,LV,2.0,0,0,0,0.0,0.0,4,15,0.1,0,0,0,0.0,,,,,8,2.0,9
Josh Williams,RB,TB,2.0,0,0,0,0.0,0.0,3,14,0.1,0,0,0,0.0,,,,,9,2.0,9
Ahmani Marshall,RB,CLE,1.9,0,0,0,0.0,0.0,3,13,0.1,0,0,0,0.0,,,,,9,1.9,9
