NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
Alec Ingold,RB,MIA,38.7,0,0,0,0,0,15,49,0.6,20,16,123,0.5
Ty Chandler,RB,MIN,25.2,0,0,0,0,0,37,169,0,5,4,35,0.2
Khalil Herbert,RB,IND,22.4,0,0,0,0,0,24,112,1,3,2,20,0.1
Woody Marks,RB,HOU,24.2,0,0,0,0,0,27,110,0.7,6,4,31,0.2
Craig Reynolds,RB,DET,23.4,0,0,0,0,0,33,158,0,5,4,34,0.1
Will Shipley,RB,PHI,20.1,0,0,0,0,0,41,170,0.3,1,1,5,0
Patrick Ricard,RB,BAL,35.3,0,0,0,0,0,2,6,0.1,21,17,117,1.1
Michael Burton,RB,DEN,28.5,0,0,0,0,0,10,39,0.4,14,10,82,0.6
Cordarrelle Patterson,RB,PIT,19,0,0,0,0,0,29,130,0.4,3,2,16,0.1
Velus Jones Jr.,RB,NO,19.7,0,0,0,0,0,24,102,0.7,4,3,20,0.1
Devin Neal,RB,NO,19,0,0,0,0,0,22,89,0.7,4,3,20,0.1
Pierre Strong Jr.,RB,CLE,19.2,0,0,0,0,0,28,124,0,5,4,29,0.1
Carlos Washington,RB,ATL,16.5,0,0,0,0,0,21,84,0.7,3,2,13,0.1
Carson Steele,RB,KC,17.9,0,0,0,0,0,21,82,0.5,5,4,25,0.1
Jordan James,RB,SF,16,0,0,0,0,0,20,82,0.7,3,2,14,0.1
Scott Matlock,RB,LAC,29.1,0,0,0,0,0,1,5,0,20,16,106,0.4
Kyle Monangai,RB,CHI,15.5,0,0,0,0,0,19,78,0.6,3,2,14,0.1
Troy Hairston,RB,CLE,22.2,0,0,0,0,0,5,17,0.1,13,9,82,0.4
Jeremy McNichols,RB,WAS,13.1,0,0,0,0,0,14,66,0.4,3,2,16,0.1
Emari Demercado,RB,ARI,14.4,0,0,0,0,0,14,72,0,5,4,27,0.1
Sincere McCormick,RB,LV,12,0,0,0,0,0,15,62,0.4,2,2,12,0.1
Hassan Haskins,RB,LAC,12.2,0,0,0,0,0,10,42,0.5,3,3,20,0.1
C.J. Ham,RB,MIN,18.8,0,0,0,0,0,4,15,0.2,12,9,55,0.2
Isaiah Davis,RB,NYJ,11.1,0,0,0,0,0,17,69,0,3,2,16,0.1
Andrew Beck,RB,NYJ,15.3,0,0,0,0,0,1,2,0,11,7,58,0.3
Kenneth Gainwell,RB,PIT,9.4,0,0,0,0,0,11,48,0.1,3,2,17,0.1
