NAME,POS,Y2024,Y2023,Y2022,AVG_PPG_PPR,TEAM
Terrace Marshall Jr.,WR,1.0,3.6,6.1,3.6,PHI
Adam Trautman,TE,2.5,3.5,2.9,3.0,DEN
Brenton Strange,TE,5.4,1.0,0.0,3.2,JAC
Kimani Vidal,RB,3.2,0.0,0.0,3.2,LAC
Phillip Dorsett II,WR,0.0,0.0,3.4,3.4,LV
Travis Homer,RB,1.0,0.0,4.2,2.6,CHI
Case Keenum,QB,0.0,4.5,0.0,4.5,CHI
Brett Rypien,QB,0.0,1.5,4.3,2.9,MIN
Kylen Granson,TE,1.9,4.8,4.7,3.8,PHI
Durham Smythe,TE,0.8,4.4,2.4,2.5,CHI
Tyquan Thornton,WR,1.3,3.0,5.0,3.1,KC
Elijah Higgins,TE,2.9,3.3,0.0,3.1,ARI
Kyle Philips,WR,0.0,3.4,2.8,3.1,LV
Jermar Jefferson,RB,2.0,0.0,0.0,2.0,TEN
Craig Reynolds,RB,1.5,2.1,3.8,2.5,DET
Kavontae Turpin,WR,5.4,3.7,0.1,3.1,DAL
John Metchie III,WR,4.2,1.9,0.0,3.1,HOU
Ronnie Rivers,RB,3.4,2.7,3.0,3.0,LAR
Pierre Strong Jr.,RB,2.8,2.8,3.4,3.0,CLE
Harrison Bryant,TE,1.3,2.2,3.5,2.3,PHI
David Bell,WR,0.0,3.2,2.8,3.0,CLE
Lucas Krull,TE,2.6,3.3,0.0,3.0,DEN
Scotty Miller,WR,0.8,2.3,2.9,2.0,PIT
Dare Ogunbowale,RB,3.2,0.8,3.7,2.6,HOU
Jordan Mims,RB,2.9,0.0,0.0,2.9,TEN
Tyler Goodson,RB,2.9,2.8,0.0,2.9,IND
Christopher Brooks,RB,3.2,2.5,0.0,2.9,GB
Steven Sims Jr.,WR,-0.5,1.7,2.6,1.3,SEA
Brock Wright,TE,2.1,2.0,3.7,2.6,DET
Josh Whyle,TE,3.4,2.2,0.0,2.8,TEN
Kenny McIntosh,RB,2.8,0.0,0.0,2.8,SEA
Ihmir Smith-Marsette,WR,0.0,2.0,0.0,2.0,NYG
Josh Oliver,TE,4.3,3.1,2.4,3.3,MIN
Lawrence Cager,TE,0.0,1.4,4.3,2.9,WAS
Patrick Taylor,RB,4.1,2.6,1.0,2.6,SF
Brandon Johnson,WR,0.3,5.5,2.3,2.7,PIT
Trey Sermon,RB,3.1,1.7,0.5,1.8,PIT
Trenton Irwin,WR,0.6,3.9,7.0,3.8,JAC
Ben Skowronek,WR,1.2,1.2,5.9,2.8,PIT
Charlie Kolar,TE,2.2,1.5,4.0,2.6,BAL
Malik Heath,WR,2.6,2.5,0.0,2.6,GB
Colby Parkinson,TE,3.8,3.6,4.1,3.8,LAR
Dyami Brown,WR,4.1,2.0,2.1,2.7,JAC
Jake Bobo,WR,1.7,3.3,0.0,2.5,SEA
Luke Schoonmaker,TE,3.4,1.5,0.0,2.5,DAL
Drew Sample,TE,2.1,2.9,1.0,2.0,CIN
Ainias Smith,WR,2.4,0.0,0.0,2.4,PHI
Skylar Thompson,QB,2.3,0.0,2.4,2.4,PIT
